Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Arm,Avg EV,Max EV,FV,playerId
"Miguel Amaya","C","CHC",57,2,"21.6055555","35 / 55",55,45,"30 / 45","50 / 55","40 / 30","45 / 60","55 / 60",86,109,"50","sa917354"
"Heliot Ramos","RF","SFG",60,3,"21.1111111","35 / 50",50,50,"45 / 55","55 / 55","55 / 50","45 / 50","60 / 60",90,108,"50","sa3004693"
"Leody Taveras","CF","TEX",61,1,"22.1083333","35 / 55",45,55,"30 / 40","50 / 50","60 / 60","55 / 70","60 / 60",86,,"50","18900"
"Taylor Trammell","LF","SEA",62,4,"23.0944444","45 / 55",60,40,"40 / 45","55 / 55","70 / 70","60 / 70","35 / 35",88,108,"50","sa917943"
"Alek Thomas","CF","ARI",63,3,"20.4694444","25 / 60",55,45,"40 / 50","50 / 50","60 / 60","50 / 55","40 / 40",90,107,"50","sa3006892"
"Tyler Stephenson","C","CIN",65,1,"24.1694444","45 / 50",55,45,"40 / 45","65 / 65","30 / 30","40 / 45","70 / 70",90,106,"50","17988"
"Xavier Edwards","2B","TBR",68,6,"21.1888888","35 / 60",45,70,"20 / 30","40 / 40","80 / 80","50 / 55","45 / 45",84,100,"50","sa3007018"
"Drew Waters","CF","ATL",70,3,"21.7972222","40 / 60",30,55,"40 / 50","55 / 60","60 / 60","45 / 50","60 / 60",89,109,"50","sa3004378"
"Jordyn Adams","CF","LAA",73,3,"20.9972222","30 / 50",50,40,"30 / 50","50 / 60","80 / 80","45 / 60","45 / 50",86,104,"50","sa3008032"
"Zac Veen","CF","COL",74,1,"18.8472222","25 / 55",,,"25 / 60","55 / 65","60 / 55","40 / 50","50 / 50",91,103,"50",
"Jordan Groshans","3B","TOR",75,4,"20.9361111","30 / 50",,,"30 / 55","60 / 65","55 / 50","45 / 50","60 / 60",90,107,"50","sa3006893"
"Kevin Alcantara","CF","NYY",76,3,"18.2638888","20 / 50",50,45,"20 / 55","50 / 60","60 / 55","45 / 55","55 / 55",88,106,"50","sa3008752"
"Jose Garcia","SS","CIN",77,3,"22.5333333","30 / 40",40,45,"35 / 50","55 / 60","60 / 60","60 / 60","70 / 70",87,109,"50","23378"
"George Valera","CF","CLE",78,2,"19.9277777","25 / 50",55,45,"25 / 55","55 / 60","50 / 45","45 / 50","55 / 55",91,107,"50","sa3006872"
"Nick Gonzales","2B","PIT",81,5,"21.3888888","35 / 60",,,"35 / 50","55 / 55","40 / 40","40 / 45","45 / 45",,,"50",
"Luis Garcia","2B","WSN",82,1,"20.4194444","40 / 60",30,60,"30 / 45","50 / 55","40 / 40","45 / 50","55 / 55",86,104,"50","20391"
"Keibert Ruiz","C","LAD",83,2,"22.2416666","55 / 70",35,70,"30 / 35","50 / 50","20 / 20","50 / 50","50 / 50",88,100,"50","19610"
"Ryan Mountcastle","LF","BAL",84,3,"23.6638888","50 / 55",30,55,"45 / 55","60 / 60","45 / 45","35 / 35","30 / 30",89,108,"50","18373"
"Ryan Jeffers","C","MIN",85,6,"23.6138888","40 / 50",50,55,"45 / 55","55 / 55","40 / 40","45 / 50","55 / 55",90,105,"50","24618"
"Alejandro Kirk","C","TOR",86,5,"21.9472222","35 / 60",60,60,"30 / 40","50 / 50","20 / 20","40 / 45","55 / 55",91,105,"50","22581"
"Orelvis Martinez","SS","TOR",87,6,"18.9111111","20 / 45",50,50,"20 / 50","50 / 60","45 / 40","30 / 45","50 / 55",87,105,"50","sa3010692"
"Ezequiel Duran","2B","NYY",88,4,"21.4027777","30 / 40",40,40,"35 / 55","55 / 60","40 / 35","40 / 45","45 / 45",92,109,"50","sa3005271"
