Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Arm,Avg EV,Max EV,FV,playerId
"Korey Lee","C","HOU",,5,"22.2277777","30 / 45",50,45,"30 / 50","55 / 55","45 / 40","40 / 50","55 / 55",89,108,"40+","sa3010034"
"Misael Urbina","CF","MIN",,9,"18.4722222","25 / 55",50,55,"25 / 50","45 / 50","55 / 50","40 / 50","40 / 45",81,98,"40+","sa3008743"
"Jeremy Pena","SS","HOU",,8,"23.0694444","30 / 45",45,50,"30 / 40","45 / 45","55 / 55","55 / 60","50 / 50",87,105,"40+","sa876320"
"Jose Miranda","3B","MIN",,10,"22.3","35 / 55",40,60,"30 / 50","50 / 50","50 / 45","40 / 45","55 / 55",89,104,"40+","sa917952"
"Reginald Preciado","3B","SDP",,12,"17.4194444","25 / 55",40,60,"20 / 50","40 / 60","40 / 40","40 / 50","50 / 55",,,"40+",
"Aaron Sabato","1B","MIN",,11,"21.3694444","35 / 55",,,"35 / 55","55 / 60","30 / 30","40 / 50","50 / 50",94,111,"40+",
"Wander Javier","SS","MIN",,12,"21.8","30 / 50",40,45,"30 / 45","45 / 55","55 / 50","45 / 55","60 / 60",85,103,"40+","sa917168"
"Tirso Ornelas","LF","SDP",,15,"20.6","35 / 55",55,45,"30 / 45","55 / 60","50 / 45","45 / 55","50 / 50",87,108,"40+","sa3004048"
"Matt Wallner","RF","MIN",,14,"22.8472222","30 / 45",60,40,"35 / 60","70 / 70","40 / 35","45 / 50","60 / 60",89,105,"40+","sa918808"
"Tucupita Marcano","SS","SDP",,16,"21.0861111","35 / 60",50,70,"20 / 30","30 / 40","60 / 60","45 / 50","55 / 55",82,100,"40+","sa3002857"
"Junior Perez","RF","SDP",,17,"19.2861111","25 / 55",55,45,"25 / 55","50 / 55","45 / 40","40 / 50","50 / 50",88,107,"40+","sa3005744"
"Chase Strumpf","2B","CHC",,7,"22.6083333","30 / 55",55,55,"25 / 40","50 / 50","50 / 50","45 / 50","50 / 50",87,101,"40+","sa3010845"
"Christopher Morel","3B","CHC",,12,"21.3138888","30 / 40",30,50,"35 / 55","55 / 60","40 / 40","40 / 50","60 / 60",86,107,"40+","sa3003171"
"Miguel Hiraldo","3B","TOR",,11,"20.1166666","25 / 55",40,55,"20 / 50","50 / 55","50 / 40","40 / 45","55 / 55",86,103,"40+","sa3005486"
"Rikelvin de Castro","SS","TOR",,13,"17.7333333","20 / 50",,,"20 / 35","30 / 45","60 / 55","45 / 60","50 / 55",,,"40+",
"MJ Melendez","C","KCR",,11,"21.8833333","20 / 30",50,20,"30 / 45","55 / 60","45 / 40","45 / 55","60 / 60",89,106,"40+","sa3004139"
"Seuly Matias","RF","KCR",,13,"22.1194444","20 / 30",30,40,"35 / 60","70 / 80","50 / 40","40 / 45","70 / 70",89,110,"40+","sa917039"
"Yermin Mercedes","DH","CHW",,10,"27.675","60 / 60",50,60,"50 / 50","60 / 60","30 / 30","30 / 30","55 / 55",89,109,"40+","17423"
"Micker Adolfo","RF","CHW",,11,"24.1","30 / 35",45,40,"50 / 60","70 / 70","40 / 40","40 / 40","50 / 50",95,114,"40+","sa830303"
"Antonio Cabello","CF","NYY",,14,"19.9611111","25 / 55",50,55,"30 / 50","55 / 55","65 / 60","45 / 50","55 / 55",81,104,"40+","sa3005600"
"Oswaldo Cabrera","2B","NYY",,16,"21.6277777","30 / 55",40,60,"20 / 40","40 / 45","50 / 50","45 / 50","50 / 50",90,105,"40+","sa916954"
"Austin Wells","RF","NYY",,19,"21.2638888","35 / 50",,,"35 / 50","55 / 55","45 / 45","35 / 45","40 / 40",,,"40+",
"Maikol Escotto","2B","NYY",,20,"18.3694444","20 / 45",55,40,"25 / 55","50 / 60","50 / 40","40 / 50","60 / 60",89,105,"40+","sa3008878"
"Everson Pereira","CF","NYY",,21,"19.5194444","25 / 50",,,"20 / 50","50 / 50","55 / 55","45 / 55","55 / 55",89,108,"40+","sa3007034"
"Canaan Smith","LF","NYY",,22,"21.4638888","30 / 45",60,45,"35 / 55","60 / 60","40 / 40","40 / 45","45 / 45",,109,"40+","sa3004279"
"Antonio Gomez","C","NYY",,23,"18.9277777","25 / 50",,,"20 / 45","45 / 50","30 / 20","40 / 50","80 / 80",87,102,"40+","sa3008746"
"Anthony Seigler","C","NYY",,24,"21.325","35 / 55",60,50,"30 / 35","45 / 45","45 / 40","50 / 55","60 / 60",85,99,"40+","sa3006894"
"Jaylin Davis","RF","SFG",,10,"26.2944444","40 / 40",55,40,"50 / 55","65 / 65","60 / 60","55 / 55","50 / 50",94,111,"40+","19552"
"Tyler Callihan","3B","CIN",,9,"20.3194444","35 / 55",40,55,"30 / 50","55 / 60","40 / 35","40 / 50","55 / 55",88,105,"40+","sa1169610"
"Alexander Ramirez","RF","LAA",,10,"18.1333333","20 / 40",45,40,"25 / 60","55 / 70","40 / 30","40 / 45","50 / 60",95,111,"40+","sa3008757"
"Jahmai Jones","2B","LAA",,11,"23.2027777","40 / 50",45,50,"40 / 45","50 / 50","60 / 60","40 / 45","45 / 45",88,109,"40+","18872"
"D'Shawn Knowles","CF","LAA",,12,"19.7527777","20 / 45",50,40,"20 / 45","45 / 50","70 / 70","45 / 55","60 / 60",85,103,"40+","sa3006889"
"William Holmes","RHP/CF","LAA",,13,"19.8222222","20 / 40",,,"20 / 50","45 / 55","55 / 50","40 / 50","70 / 70",81,101,"40+","sa3007744"
"Rece Hinds","RF","CIN",,13,"20.1166666","20 / 40",,,"25 / 60","65 / 70","45 / 40","40 / 50","60 / 60",87,105,"40+","sa1169587"
"Jairo Pomares","CF","SFG",,16,"20.2027777","25 / 55",45,55,"20 / 40","45 / 50","55 / 50","45 / 50","45 / 45",90,108,"40+","sa3010023"
"Trent Deveaux","CF","LAA",,15,"20.4527777","30 / 40",50,35,"30 / 50","45 / 55","70 / 70","40 / 55","50 / 55",88,102,"40+","sa3006885"
"Andy Young","2B","ARI",,17,"26.4361111","45 / 50",50,40,"45 / 55","55 / 55","40 / 40","40 / 40","50 / 50",88,108,"40+","19521"
"Stuart Fairchild","CF","ARI",,18,"24.5833333","45 / 55",50,55,"35 / 45","50 / 50","55 / 55","50 / 55","60 / 60",88,105,"40+","sa829822"
"Seth Beer","1B","ARI",,19,"24.0805555","35 / 40",55,40,"40 / 55","60 / 60","20 / 20","30 / 40","45 / 45",88,106,"40+","sa3006658"
"Blaze Alexander","SS","ARI",,21,"21.35","30 / 40",55,35,"20 / 45","50 / 55","45 / 40","45 / 50","80 / 80",87,104,"40+","sa3007742"
"Sheldon Neuse","3B","OAK",,8,"25.8527777","35 / 40",45,45,"35 / 55","60 / 60","40 / 40","45 / 50","60 / 60",91,,"40+","19635"
"Masyn Winn","RHP/SS","STL",,7,"18.5722222","20 / 40",40,45,"20 / 50","45 / 55","60 / 60","40 / 50","70 / 70",,,"40+",
"Austin Beck","CF","OAK",,9,"21.9055555","30 / 45",35,45,"30 / 55","60 / 60","60 / 55","40 / 50","60 / 60",88,,"40+","sa3004055"
"Jordan Walker","3B","STL",,8,"18.4027777","25 / 55",,,"20 / 55","60 / 70","50 / 45","45 / 50","55 / 55",,,"40+",
"Jhon Torres","RF","STL",,9,"20.55","30 / 50",55,45,"30 / 60","55 / 65","50 / 40","40 / 50","60 / 60",84,106,"40+","sa3003233"
"Luis Rodriguez","CF","LAD",,16,"18.0861111","25 / 55",,,"45 / 55","20 / 45","55 / 50","40 / 50","55 / 55",,,"40+",
"Jonah Heim","C","OAK",,11,"25.3055555","50 / 50",40,60,"30 / 30","50 / 50","30 / 30","55 / 55","60 / 60",88,103,"40+","16930"
"Tre Fletcher","CF","STL",,10,"19.4638888","20 / 40",40,40,"25 / 50","50 / 55","60 / 55","40 / 50","55 / 55",87,104,"40+","sa3010709"
"Lane Thomas","CF","STL",,14,"25.15","45 / 50",50,55,"40 / 45","50 / 50","55 / 55","60 / 60","55 / 55",91,108,"40+","16939"
"Gabriel Arias","SS","CLE",,16,"20.6388888","30 / 35",30,40,"35 / 50","55 / 60","55 / 55","55 / 60","60 / 60",88,106,"40+","sa3004047"
"Angel Martinez","SS","CLE",,18,"18.7361111","25 / 55",50,60,"20 / 45","40 / 50","60 / 60","40 / 50","55 / 60",84,98,"40+","sa3008762"
"Junior Sanquintin","SS","CLE",,19,"18.775","25 / 50",50,50,"25 / 50","45 / 55","55 / 50","40 / 50","55 / 60",84,102,"40+","sa3010863"
"Aaron Bracho","LF","CLE",,20,"19.4805555","25 / 55",60,55,"25 / 55","50 / 50","50 / 45","30 / 45","45 / 45",87,102,"40+","sa3010018"
"Gabriel Rodriguez","3B","CLE",,21,"18.6527777","20 / 40",40,30,"25 / 60","50 / 60","50 / 40","40 / 50","60 / 60",83,101,"40+","sa3008744"
"Carson Tucker","SS","CLE",,22,"18.7305555","20 / 45",,,"20 / 45","45 / 55","55 / 50","45 / 50","55 / 60",,,"40+",
"Jose Tena","SS","CLE",,26,"19.575","25 / 55",20,60,"20 / 50","40 / 50","55 / 55","40 / 50","55 / 55",85,106,"40+","sa3005482"
"Petey Halpin","CF","CLE",,27,"18.3916666","25 / 55",,,"20 / 40","40 / 45","60 / 60","45 / 50","60 / 60",,,"40+",
"Michael Harris","RF","ATL",,13,"19.6111111","20 / 45",50,45,"20 / 45","55 / 55","50 / 50","45 / 55","60 / 60",90,107,"40+","sa3010684"
"Johan Rojas","CF","PHI",,9,"20.175","20 / 45",30,50,"20 / 50","50 / 60","65 / 60","50 / 60","60 / 60",87,107,"40+","sa3005784"
"Casey Martin","SS","PHI",,11,"21.5277777","30 / 40",20,50,"35 / 50","55 / 60","80 / 80","45 / 50","55 / 55",,,"40+",
"Kendall Simmons","SS","PHI",,12,"20.5166666","20 / 35",40,40,"35 / 55","55 / 65","55 / 50","40 / 50","55 / 55",87,109,"40+","sa3006867"
"Nick Schnell","CF","TBR",,18,"20.5555555","30 / 40",30,45,"35 / 55","55 / 60","60 / 60","40 / 50","60 / 60",89,107,"40+","sa3007639"
"Kevin Padlo","3B","TBR",,20,"24.2555555","35 / 40",60,40,"45 / 50","60 / 60","40 / 40","45 / 45","50 / 50",92,109,"40+","sa828961"
"Abiezel Ramirez","SS","TBR",,21,"20.725","35 / 55",50,55,"30 / 45","50 / 55","60 / 60","40 / 50","60 / 60",89,100,"40+","sa3003282"
"Aaron Schunk","3B","COL",,6,"23.2305555","30 / 50",45,45,"30 / 50","50 / 55","45 / 45","50 / 55","60 / 60",88,106,"40+","sa3009957"
"Anthony Servideo","SS","BAL",,15,"21.6","30 / 50",55,45,"35 / 45","45 / 50","55 / 55","45 / 55","55 / 55",88,104,"40+",
"Osiris Johnson","3B","MIA",,19,"19.9972222","20 / 40",45,40,"25 / 50","55 / 60","50 / 40","40 / 50","50 / 50",87,106,"40+","sa3008110"
"Brenton Doyle","CF","COL",,8,"22.425","30 / 45",55,45,"30 / 50","60 / 60","60 / 60","40 / 50","55 / 55",87,106,"40+","sa3009965"
"Adam Hall","SS","BAL",,17,"21.4027777","30 / 50",45,50,"30 / 40","45 / 45","60 / 60","45 / 50","55 / 55",87,104,"40+","sa3005077"
"Drew Romo","C","COL",,9,"19.1333333","20 / 40",,35,"20 / 40","45 / 60","30 / 30","45 / 60","60 / 60",,,"40+",
"Victor Mesa Jr.","CF","MIA",,21,"19.1083333","25 / 55",50,55,"25 / 40","45 / 50","50 / 50","45 / 55","50 / 50",85,101,"40+","sa3010700"
"Coby Mayo","RF","BAL",,18,"18.8527777","20 / 45",45,55,"25 / 55","55 / 65","50 / 40","40 / 50","60 / 60",85,102,"40+",
"Diowill Burgos","RF","MIA",,22,"19.7166666","25 / 55",50,45,"25 / 55","45 / 55","40 / 35","40 / 50","45 / 50",89,107,"40+","sa3005740"
"Adael Amador","SS","COL",,11,"17.5166666","20 / 45",45,40,"20 / 40","40 / 50","60 / 60","45 / 55","55 / 60",,,"40+",
"Julio Carreras","SS","COL",,14,"20.7638888","30 / 45",45,40,"20 / 50","40 / 50","60 / 55","45 / 55","55 / 60",84,101,"40+","sa3005598"
"Cal Mitchell","RF","PIT",,14,"21.6083333","30 / 45",35,50,"35 / 50","45 / 50","40 / 40","40 / 50","45 / 45",86,103,"40+","sa3004258"
"Sammy Siani","CF","PIT",,15,"19.8416666","25 / 50",55,40,"20 / 45","45 / 50","55 / 55","45 / 50","40 / 40",83,99,"40+","sa3010704"
"Freddy Zamora","SS","MIL",,8,"21.9611111","35 / 60",,,"35 / 45","50 / 55","60 / 60","50 / 60","55 / 55",88,100,"40+",
"Daniel Cabrera","LF","DET",,13,"22.1166666","35 / 55",55,60,"30 / 50","50 / 55","45 / 45","45 / 50","50 / 50",93,104,"40+",
"Mason Martin","1B","PIT",,17,"21.375","30 / 40",60,50,"35 / 60","70 / 70","40 / 40","45 / 50","45 / 45",91,109,"40+","sa3004885"
"Nick Quintana","3B","DET",,14,"23.0111111","30 / 45",50,40,"30 / 50","55 / 55","40 / 40","50 / 60","55 / 55",87,105,"40+","sa3010390"
"Eduardo Garcia","SS","MIL",,11,"18.2694444","20 / 50",,,"20 / 50","30 / 50","45 / 50","40 / 60","50 / 60",,,"40+","sa3008751"
"Rodolfo Nolasco","OF","PIT",,19,"19.0666666","25 / 50",50,50,"20 / 55","50 / 55","50 / 40","40 / 50","55 / 55",89,107,"40+","sa3008907"
"Corey Ray","CF","MIL",,12,"26.0694444","30 / 35",55,30,"40 / 45","60 / 60","70 / 70","40 / 45","40 / 40",88,108,"40+","sa738510"
"Hedbert Perez","OF","MIL",,13,"17.5361111","25 / 60",,,"20 / 50","45 / 55","55 / 55","40 / 55","55 / 55",,,"40+",
"Jeisson Rosario","CF","BOS",,8,"20.9861111","45 / 60",65,60,"30 / 30","40 / 45","60 / 60","45 / 60","60 / 60",86,103,"40+","sa3004146"
"Matthew Lugo","SS","BOS",,9,"19.4388888","25 / 55",45,50,"20 / 45","40 / 50","55 / 55","45 / 50","55 / 55",80,97,"40+","sa1169598"
"Cameron Cannon","3B","BOS",,10,"23.0027777","35 / 55",55,50,"30 / 45","50 / 50","45 / 40","45 / 50","50 / 50",87,102,"40+","sa3011467"
"Maximo Acosta","SS","TEX",,12,"17.9666666","25 / 60",,,"20 / 45","40 / 50","50 / 45","40 / 50","50 / 50",,,"40+",
"Bayron Lora","LF","TEX",,13,"18.05","20 / 50",,,"25 / 60","60 / 70","40 / 30","40 / 50","45 / 45",,,"40+",
"Jonathan Ornelas","SS","TEX",,15,"20.3916666","30 / 50",50,45,"30 / 40","45 / 50","55 / 50","45 / 55","55 / 55",89,,"40+","sa3006909"
"Osleivis Basabe","SS","TEX",,16,"20.0944444","25 / 55",30,60,"20 / 40","45 / 50","60 / 60","40 / 50","55 / 55",90,,"40+","sa3006594"
"Keithron Moss","CF","TEX",,17,"19.1583333","25 / 55",50,60,"20 / 50","45 / 55","60 / 60","40 / 50","50 / 50",86,,"40+","sa3005599"
"Davis Wendzel","3B","TEX",,18,"23.4","35 / 50",55,50,"30 / 45","55 / 55","40 / 40","45 / 55","60 / 60",,,"40+","sa3011890"
"Steele Walker","CF","TEX",,20,"24.2138888","35 / 50",50,55,"30 / 45","60 / 60","60 / 45","45 / 50","45 / 45",89,,"40+","sa3008306"
"Marcus Smith","CF","TEX",,40,"20.1","25 / 55",,,"20 / 30","35 / 40","70 / 70","45 / 60","55 / 55",87,,"40","sa1169620"
"Diosbel Arias","SS","TEX",,41,"24.2388888","40 / 50",50,50,"30 / 40","45 / 45","50 / 50","50 / 55","55 / 55",87,,"40","sa3005308"
"Jordan Brewer","CF","HOU",,14,"23.2111111","20 / 40",45,40,"20 / 45","55 / 55","70 / 70","40 / 50","60 / 60",91,108,"40","sa3011737"
"Colin Barber","CF","HOU",,15,"19.8694444","20 / 45",45,55,"20 / 40","45 / 50","60 / 60","40 / 50","50 / 50",86,104,"40","sa3010696"
"Brent Rooker","1B","MIN",,17,"25.9611111","35 / 40",50,45,"50 / 60","65 / 65","40 / 40","40 / 45","35 / 35",92,109,"40","19627"
"Ismael Mena","CF","SDP",,20,"17.8805555","25 / 55",,,"20 / 45","40 / 50","60 / 60","40 / 50","40 / 45",,,"40",
"Grae Kessinger","SS","HOU",,17,"23.1444444","25 / 45",55,45,"20 / 40","50 / 50","50 / 50","45 / 50","55 / 55",86,102,"40","sa3010327"
"Yunior Severino","2B","MIN",,19,"21.0388888","30 / 40",55,40,"35 / 50","55 / 60","50 / 50","40 / 45","50 / 50",88,103,"40","sa3003185"
"Jorge Mateo","CF","SDP",,21,"25.3166666","35 / 40",30,50,"40 / 45","55 / 55","80 / 80","45 / 50","55 / 55",90,,"40","17273"
"Luis Santana","2B","HOU",,18,"21.2416666","35 / 60",45,60,"30 / 35","40 / 45","40 / 40","40 / 45","50 / 50",84,99,"40","sa921577"
"Esteury Ruiz","2B","SDP",,22,"21.6722222","30 / 45",35,45,"35 / 55","50 / 55","60 / 55","30 / 40","50 / 50",82,102,"40","sa917030"
"Jorge Ona","LF","SDP",,24,"23.7972222","35 / 40",50,45,"45 / 50","60 / 60","55 / 55","45 / 50","50 / 50",93,110,"40","20040"
"Benjamin Rortvedt","C","MIN",,23,"23.0611111","30 / 40",55,50,"30 / 40","50 / 50","30 / 30","40 / 45","55 / 55",86,103,"40","sa917942"
"Ronnier Quintero","C","CHC",,13,"17.9277777","20 / 50",,,"25 / 45","45 / 50","30 / 20","45 / 55","60 / 60",,,"40",
"Eguy Rosario","2B","SDP",,26,"21.1444444","35 / 55",50,55,"20 / 45","45 / 50","50 / 40","45 / 50","50 / 50",86,103,"40","sa917140"
"Kevin Made","SS","CHC",,14,"18.1027777","20 / 50",,,"20 / 45","35 / 50","55 / 55","45 / 55","50 / 55",,,"40",
"Ronnie Dawson","CF","HOU",,23,"25.4111111","30 / 35",55,40,"45 / 50","55 / 55","55 / 55","50 / 50","40 / 40",90,108,"40","sa873674"
"Travis Blankenhorn","2B","MIN",,25,"24.2055555","40 / 50",50,40,"40 / 45","55 / 55","40 / 40","40 / 40","50 / 50",91,106,"40","18395"
"Jordy Barley","SS","SDP",,27,"20.8722222","30 / 35",30,40,"30 / 45","50 / 55","60 / 60","50 / 55","60 / 60",86,107,"40","sa3004148"
"Dauri Lorenzo","SS","HOU",,24,"17.9666666","25 / 55",,,"25 / 45","40 / 50","50 / 50","45 / 50","50 / 50",,,"40",
"Spencer Steer","2B","MIN",,26,"22.8611111","35 / 50",50,55,"20 / 45","50 / 50","50 / 45","45 / 50","50 / 50",87,101,"40","sa3010586"
"Charlis Aquino","SS","SDP",,28,"18.9138888","20 / 50",,,"20 / 45","30 / 50","40 / 50","45 / 55","50 / 60",77,96,"40","sa3008895"
"Ethan Hearn","C","CHC",,16,"20.1305555","20 / 40",,,"25 / 45","50 / 55","40 / 30","45 / 55","60 / 60",87,106,"40","sa3011502"
"Akil Baddoo","CF","MIN",,27,"22.1694444","30 / 40",55,40,"30 / 45","50 / 55","60 / 60","40 / 50","40 / 40",88,105,"40","sa917953"
"Joshua Mears","LF","SDP",,29,"19.6694444","20 / 40",40,40,"25 / 60","65 / 70","50 / 40","40 / 50","55 / 55",85,111,"40","sa3010162"
"LaMonte Wade Jr","LF","MIN",,28,"26.7944444","45 / 45",55,55,"30 / 35","45 / 45","50 / 50","55 / 55","40 / 40",88,101,"40","18126"
"Dwanya Williams-Sutton","RF","SDP",,30,"23.2694444","30 / 35",50,40,"35 / 45","55 / 60","60 / 60","50 / 55","55 / 55",84,105,"40","sa875819"
"Will Holland","2B","MIN",,29,"22.4972222","30 / 40",50,40,"30 / 45","50 / 50","70 / 70","45 / 50","55 / 55",83,103,"40","sa3011204"
"Fabian Pertuz","3B","CHC",,19,"20.1277777","20 / 45",35,55,"20 / 50","45 / 50","50 / 50","40 / 50","50 / 50",84,102,"40","sa3005500"
"Garrett Stubbs","C","HOU",,28,"27.3916666","50 / 55",60,55,"30 / 30","40 / 40","50 / 50","55 / 55","55 / 55",85,102,"40","18067"
"Emmanuel Rodriguez","CF","MIN",,30,"17.6305555","25 / 60",,,"20 / 40","40 / 50","50 / 55","40 / 50","45 / 50",,,"40",
"Yohendrick Pinango","CF","CHC",,20,"18.4444444","25 / 55",50,55,"20 / 40","45 / 50","60 / 60","40 / 50","55 / 55",87,105,"40","sa3009539"
"Edouard Julien","LF","MIN",,31,"21.4638888","30 / 40",55,45,"35 / 55","55 / 55","40 / 40","40 / 45","40 / 40",88,103,"40",
"Trent Giambrone","2B","CHC",,21,"26.825","40 / 40",45,45,"45 / 45","50 / 50","55 / 55","45 / 45","50 / 50",88,107,"40","sa658813"
"Chas McCormick","RF","HOU",,30,"25.4944444","50 / 50",55,55,"45 / 50","55 / 55","50 / 50","55 / 55","50 / 50",90,105,"40","sa3004174"
"Luis Verdugo","SS","CHC",,22,"20.0138888","20 / 40",40,45,"20 / 45","45 / 50","45 / 50","50 / 60","55 / 60",87,102,"40","sa3006888"
"Aramis Ademan","SS","CHC",,24,"22.0944444","30 / 55",50,50,"30 / 45","45 / 45","45 / 50","45 / 50","55 / 55",83,100,"40","sa917352"
"Dasan Brown","CF","TOR",,16,"19.0611111","20 / 45",45,50,"20 / 35","40 / 45","80 / 80","40 / 60","50 / 50",,97,"40","sa3011717"
"Rafael Morel","SS","CHC",,28,"18.9027777","25 / 55",45,55,"20 / 40","40 / 45","60 / 60","40 / 50","50 / 55",86,104,"40","sa3009534"
"Kevin Smith","SS","TOR",,18,"24.2861111","30 / 35",45,30,"45 / 50","55 / 55","55 / 55","40 / 45","55 / 55",89,106,"40","sa915864"
"Leonardo Jimenez","SS","TOR",,19,"19.4166666","25 / 55",45,55,"20 / 30","40 / 45","50 / 50","45 / 55","55 / 55",83,98,"40","sa3006891"
"Estiven Machado","2B","TOR",,21,"18.0361111","25 / 60",,,"20 / 30","30 / 40","55 / 55","45 / 60","50 / 50",,,"40",
"Otto Lopez","SS","TOR",,22,"22.0444444","35 / 55",40,60,"20 / 30","40 / 45","60 / 60","40 / 45","50 / 50",85,103,"40","sa3004268"
"Riley Adams","C","TOR",,25,"24.3083333","30 / 40",45,40,"40 / 50","60 / 60","30 / 30","40 / 45","55 / 55",87,108,"40","sa829749"
"Will Robertson","RF","TOR",,27,"22.8083333","30 / 50",45,45,"30 / 50","60 / 60","40 / 35","40 / 50","50 / 50",87,102,"40","sa3009879"
"Shervyen Newton","SS","NYM",,12,"21.4805555","30 / 40",50,30,"30 / 50","55 / 65","50 / 50","40 / 50","55 / 55",87,103,"40","sa917119"
"Brady McConnell","SS","KCR",,15,"22.3972222","30 / 40",35,40,"30 / 50","55 / 55","60 / 60","45 / 50","55 / 55",88,106,"40","sa3010331"
"Kelvin Gutierrez","3B","KCR",,17,"26.1361111","50 / 55",40,60,"35 / 40","55 / 55","40 / 40","50 / 55","60 / 60",92,111,"40","17468"
"Endy Rodriguez","C","NYM",,15,"20.4472222","25 / 60",55,55,"20 / 40","35 / 45","45 / 40","45 / 60","50 / 50",90,99,"40","sa3008272"
"Jake Fraley","LF","SEA",,14,"25.3944444","50 / 50",45,55,"35 / 40","45 / 45","55 / 55","50 / 55","40 / 40",86,105,"40","19260"
"Isaiah Greene","CF","NYM",,16,"19.1333333","20 / 40",,35,"25 / 50","45 / 55","60 / 60","40 / 55","45 / 45",,,"40",
"Zach DeLoach","CF","SEA",,15,"22.1638888","30 / 50",,,"30 / 50","50 / 50","60 / 55","40 / 50","45 / 45",,,"40",
"Wilmin Candelario","SS","KCR",,19,"19.1","20 / 40",30,45,"20 / 50","45 / 55","60 / 55","40 / 55","60 / 60",81,99,"40","sa3008834"
"Jaylen Palmer","3B","NYM",,17,"20.2138888","20 / 40",45,30,"25 / 50","50 / 60","50 / 40","40 / 45","55 / 55",91,104,"40","sa3008297"
"Adrian Hernandez","CF","NYM",,18,"19.6916666","20 / 45",40,45,"25 / 50","50 / 55","50 / 55","40 / 50","50 / 50",90,104,"40","sa3005487"
"Braden Bishop","CF","SEA",,17,"27.1527777","40 / 40",45,40,"40 / 40","50 / 50","70 / 70","70 / 70","55 / 55",88,100,"40","17806"
"Lucius Fox","SS","KCR",,21,"23.2916666","40 / 50",55,55,"30 / 30","40 / 40","60 / 60","45 / 50","55 / 55",88,105,"40","sa914200"
"Jonatan Clase","CF","SEA",,18,"18.4","25 / 55",60,50,"20 / 40","40 / 45","70 / 70","45 / 60","45 / 45",81,97,"40","sa3008787"
"Nick Pratto","1B","KCR",,22,"22.0305555","30 / 45",55,40,"30 / 45","50 / 55","40 / 40","50 / 60","60 / 60",86,106,"40","sa3004138"
"Maikel Garcia","SS","KCR",,23,"20.6222222","35 / 55",40,60,"30 / 40","30 / 40","55 / 50","45 / 55","50 / 55",86,100,"40","sa3003246"
"Carlos Cortes","LF","NYM",,21,"23.2972222","30 / 45",50,60,"35 / 55","60 / 60","40 / 40","40 / 45","45 / 45",88,102,"40","sa3008079"
"Darryl Collins","LF","KCR",,24,"18.9194444","25 / 60",45,55,"20 / 50","50 / 55","45 / 40","40 / 50","40 / 40",82,100,"40","sa3010154"
"Alexander Ramirez","CF","NYM",,23,"17.7611111","20 / 50",,,"20 / 55","40 / 55","55 / 55","40 / 50","50 / 55",,,"40"," "
"Alberto Rodriguez","OF","SEA",,22,"20.0305555","25 / 55",50,45,"25 / 50","45 / 50","45 / 40","40 / 45","50 / 50",88,105,"40","sa3005603"
"Alberto Rodriguez","OF","SEA",,22,"20.0305555","25 / 55",50,45,"25 / 50","45 / 50","45 / 40","40 / 45","50 / 50",88,105,"40","sa3005603"
"Edward Olivares","CF","KCR",,26,"24.6138888","45 / 50",40,50,"40 / 45","50 / 50","55 / 55","50 / 55","60 / 60",87,104,"40","19698"
"Ali Sanchez","C","NYM",,24,"23.7416666","45 / 50",45,50,"30 / 30","40 / 40","30 / 30","55 / 55","55 / 55",86,,"40","18551"
"Blake Rutherford","LF","CHW",,15,"23.4583333","40 / 45",50,45,"45 / 50","50 / 50","50 / 50","50 / 50","40 / 40",87,106,"40","sa917932"
"Will Toffey","3B","NYM",,25,"25.7972222","40 / 50",70,40,"30 / 40","50 / 50","50 / 50","50 / 55","70 / 70",88,104,"40","sa829401"
"Carter Bins","C","SEA",,24,"22.4333333","30 / 40",50,30,"25 / 45","55 / 55","45 / 45","40 / 50","60 / 60",86,105,"40","sa1115884"
"Luis Gonzalez","RF","CHW",,16,"25.1027777","50 / 55",45,55,"30 / 35","45 / 45","55 / 55","45 / 50","50 / 50",87,103,"40","20332"
"Kaden Polcovich","2B","SEA",,25,"21.6555555","30 / 45",,,"30 / 45","50 / 50","60 / 60","30 / 45","40 / 40",,,"40",
"Benyamin Bailey","RF","CHW",,17,"19.0805555","25 / 55",,,"20 / 40","40 / 50","50 / 45","40 / 50","45 / 50",87,101,"40","sa3009343"
"Tyler Gentry","RF","KCR",,29,"21.7111111","30 / 45",40,50,"35 / 50","50 / 55","55 / 55","50 / 55","60 / 60",89,107,"40",
"Jose Rodriguez","SS","CHW",,18,"19.4277777","25 / 55",30,55,"20 / 40","45 / 50","55 / 55","40 / 50","50 / 50",88,106,"40","sa3005788"
"Yolbert Sanchez","SS","CHW",,19,"23.6222222","30 / 45",,,"40 / 45","20 / 40","60 / 60","50 / 55","60 / 60",89,101,"40","sa3011471"
"Drew Mendoza","1B","WSN",,12,"23.0194444","30 / 45",70,40,"40 / 55","60 / 65","45 / 40","40 / 50","55 / 55",95,107,"40","sa3011256"
"Gavin Sheets","1B","CHW",,20,"24.4833333","45 / 50",50,55,"45 / 50","70 / 70","30 / 30","40 / 50","40 / 40",88,110,"40","sa829797"
"Yasel Antuna","3B","WSN",,13,"20.975","20 / 45",45,50,"20 / 50","45 / 55","55 / 50","40 / 50","55 / 55",86,103,"40","sa962601"
